name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Ghastbark Twins;G;7;Creature;Treefolk;m19;uncommon;"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Ghastbark Twins can block an additional creature each combat.";7;7;0.11;0.02;0.32;2018
Fire-Belly Changeling;R;2;Creature;Shapeshifter;lrw;common;"Changeling (This card is every creature type.)
{R}: Fire-Belly Changeling gets +1/+0 until end of turn. Activate this ability no more than twice each turn.";1;1;0.24;0.11;0.48;2007
Prison Realm;W;3;Enchantment;;war;uncommon;"When Prison Realm enters the battlefield, exile target creature or planeswalker an opponent controls until Prison Realm leaves the battlefield.
When Prison Realm enters the battlefield, scry 1.";;;0.08;0.1;1.12;2019
Magistrate's Scepter;;3;Artifact;;mmq;rare;"{4}, {T}: Put a charge counter on Magistrate's Scepter.
{T}, Remove three charge counters from Magistrate's Scepter: Take an extra turn after this one.";;;0.81;0.79;8.71;1999
Hornbash Mentor;G;3;Creature;Human Warrior;iko;uncommon;"When Hornbash Mentor enters the battlefield, put a trample counter on target non-Human creature you control.
{2}{G}, {T}: Put a +1/+1 counter on each creature you control with trample.";3;3;0.09;0.02;0.18;2020
Vampire Champion;B;4;Creature;Vampire Soldier;rix;common;Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.);3;3;0.19;0.05;;2018
Gibbering Descent;B;6;Enchantment;;fut;rare;"At the beginning of each player's upkeep, that player loses 1 life and discards a card.
Hellbent — Skip your upkeep step if you have no cards in hand.
Madness {2}{B}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)";;;9.85;2.8;21.19;2007
Kresh the Bloodbraided;BGR;5;Legendary Creature;Human Warrior;ala;mythic;Whenever another creature dies, you may put X +1/+1 counters on Kresh the Bloodbraided, where X is that creature's power.;3;3;3.96;1.0;13.16;2008
Duplicant;;6;Artifact Creature;Shapeshifter;mrd;rare;"Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature.
As long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter.";2;4;2.05;0.79;9.95;2003
Discordant Dirge;B;5;Enchantment;;usg;rare;"At the beginning of your upkeep, you may put a verse counter on Discordant Dirge.
{B}, Sacrifice Discordant Dirge: Look at target opponent's hand and choose up to X cards from it, where X is the number of verse counters on Discordant Dirge. That player discards those cards.";;;0.26;0.3;;1998
Crumbling Vestige;;0;Land;;ogw;common;"Crumbling Vestige enters the battlefield tapped.
When Crumbling Vestige enters the battlefield, add one mana of any color.
{T}: Add {C}. ({C} represents colorless mana.)";;;0.1;0.12;0.40;2016
Castle Raptors;W;5;Creature;Bird Soldier;tsp;common;"Flying
As long as Castle Raptors is untapped, it gets +0/+2.";3;3;0.05;0.03;0.29;2006
Rosethorn Halberd;G;1;Artifact;Equipment;eld;common;"When Rosethorn Halberd enters the battlefield, attach it to target non-Human creature you control.
Equipped creature gets +2/+1.
Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)";;;0.03;0.01;0.11;2019
Vivien's Jaguar;G;3;Creature;Cat Spirit;m19;uncommon;"Reach (This creature can block creatures with flying.)
{2}{G}: Return Vivien's Jaguar from your graveyard to your hand. Activate this ability only if you control a Vivien planeswalker.";3;2;0.25;0.14;;2018
Traveling Plague;B;5;Enchantment;Aura;ody;rare;"Enchant creature
At the beginning of each upkeep, put a plague counter on Traveling Plague.
Enchanted creature gets -1/-1 for each plague counter on Traveling Plague.
When enchanted creature leaves the battlefield, that creature's controller returns Traveling Plague from its owner's graveyard to the battlefield.";;;0.25;0.49;1.24;2001
Lay Bare the Heart;B;2;Sorcery;;akh;uncommon;Target opponent reveals their hand. You choose a nonlegendary, nonland card from it. That player discards that card.;;;0.1;0.02;0.37;2017
Release the Gremlins;R;1;Sorcery;;aer;rare;Destroy X target artifacts. Create X 2/2 red Gremlin creature tokens.;;;0.17;0.05;0.31;2017
Last Laugh;B;4;Enchantment;;tor;rare;"Whenever a permanent other than Last Laugh is put into a graveyard from the battlefield, Last Laugh deals 1 damage to each creature and each player.
When no creatures are on the battlefield, sacrifice Last Laugh.";;;0.5;0.35;8.28;2002
Culling Mark;G;3;Sorcery;;bng;common;Target creature blocks this turn if able.;;;0.02;0.02;;2014
Torch Courier;R;1;Creature;Goblin;grn;common;"Haste
Sacrifice Torch Courier: Another target creature gains haste until end of turn.";1;1;0.09;0.05;0.66;2018
Geyserfield Stalker;B;5;Creature;Elemental;bfz;common;"Menace (This creature can't be blocked except by two or more creatures.)
Landfall — Whenever a land enters the battlefield under your control, Geyserfield Stalker gets +2/+2 until end of turn.";3;2;0.1;0.03;0.24;2015
Flickering Ward;W;1;Enchantment;Aura;tmp;uncommon;"Enchant creature
As Flickering Ward enters the battlefield, choose a color.
Enchanted creature has protection from the chosen color. This effect doesn't remove Flickering Ward.
{W}: Return Flickering Ward to its owner's hand.";;;2.28;2.0;;1997
Magmatic Chasm;R;2;Sorcery;;soi;common;Creatures without flying can't block this turn.;;;0.05;0.02;0.09;2016
Boros Charm;RW;2;Instant;;gtc;uncommon;"Choose one —
• Boros Charm deals 4 damage to target player or planeswalker.
• Permanents you control gain indestructible until end of turn.
• Target creature gains double strike until end of turn.";;;2.29;2.6;12.18;2013
Choking Tethers;U;4;Instant;;ons;common;"Tap up to four target creatures.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Choking Tethers, you may tap target creature.";;;0.19;0.02;0.40;2002
Mizzium Mortars;R;2;Sorcery;;rtr;rare;"Mizzium Mortars deals 4 damage to target creature you don't control.
Overload {3}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")";;;0.35;0.33;1.58;2012
Jace, Architect of Thought;U;4;Legendary Planeswalker;Jace;rtr;mythic;"+1: Until your next turn, whenever a creature an opponent controls attacks, it gets -1/-0 until end of turn.
−2: Reveal the top three cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other on the bottom of your library in any order.
−8: For each player, search that player's library for a nonland card and exile it, then that player shuffles their library. You may cast those cards without paying their mana costs.";;;0.69;0.96;8.86;2012
Dromoka Monument;GW;3;Artifact;;dtk;uncommon;"{T}: Add {G} or {W}.
{4}{G}{W}: Dromoka Monument becomes a 4/4 green and white Dragon artifact creature with flying until end of turn.";;;0.12;0.04;0.30;2015
Firecat Blitz;R;2;Sorcery;;jud;uncommon;"Create X 1/1 red Elemental Cat creature tokens with haste. Exile them at the beginning of the next end step.
Flashback—{R}{R}, Sacrifice X Mountains. (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;0.49;0.5;5.95;2002
Crown of Empires;;2;Artifact;;m12;uncommon;{3}, {T}: Tap target creature. Gain control of that creature instead if you control artifacts named Scepter of Empires and Throne of Empires.;;;0.18;0.03;0.69;2011
Thassa's Devourer;U;5;Enchantment Creature;Elemental;jou;common;Constellation — Whenever Thassa's Devourer or another enchantment enters the battlefield under your control, target player mills two cards.;2;6;0.08;0.02;0.10;2014
Kaheera, the Orphanguard;GW;3;Legendary Creature;Cat Beast;iko;rare;"Companion — Each creature card in your starting deck is a Cat, Elemental, Nightmare, Dinosaur, or Beast card. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
Vigilance
Each other creature you control that's a Cat, Elemental, Nightmare, Dinosaur, or Beast gets +1/+1 and has vigilance.";3;2;0.64;0.47;0.76;2020
Font of Vigor;W;2;Enchantment;;jou;common;{2}{W}, Sacrifice Font of Vigor: You gain 7 life.;;;0.07;0.04;0.28;2014
Rockslide Elemental;R;3;Creature;Elemental;ala;uncommon;"First strike
Whenever another creature dies, you may put a +1/+1 counter on Rockslide Elemental.";1;1;0.22;0.02;0.29;2008
Cultural Exchange;U;6;Sorcery;;ody;rare;Choose any number of creatures target player controls. Choose the same number of creatures another target player controls. Those players exchange control of those creatures. (This effect lasts indefinitely.);;;3.43;2.25;11.21;2001
Midvast Protector;W;4;Creature;Human Wizard;avr;common;When Midvast Protector enters the battlefield, target creature you control gains protection from the color of your choice until end of turn.;2;3;0.05;0.01;0.15;2012
Wistful Thinking;U;3;Sorcery;;plc;common;Target player draws two cards, then discards four cards.;;;0.12;0.02;0.51;2007
Riftmarked Knight;W;3;Creature;Human Rebel Knight;plc;uncommon;"Protection from black; flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
Suspend 3—{1}{W}{W} (Rather than cast this card from your hand, you may pay {1}{W}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
When the last time counter is removed from Riftmarked Knight while it's exiled, create a 2/2 black Knight creature token with flanking, protection from white, and haste.";2;2;0.25;0.15;0.55;2007
Inundate;U;6;Sorcery;;eve;rare;Return all nonblue creatures to their owners' hands.;;;3.98;2.5;8.54;2008
Monstrous Hound;R;4;Creature;Dog;exo;rare;"Monstrous Hound can't attack unless you control more lands than defending player.
Monstrous Hound can't block unless you control more lands than attacking player.";4;4;0.31;0.2;;1998
Dragon Throne of Tarkir;;4;Legendary Artifact;Equipment;ktk;rare;"Equipped creature has defender and ""{2}, {T}: Other creatures you control gain trample and get +X/+X until end of turn, where X is this creature's power.""
Equip {3}";;;0.45;0.12;0.63;2014
Taurean Mauler;R;3;Creature;Shapeshifter;mor;rare;"Changeling (This card is every creature type.)
Whenever an opponent casts a spell, you may put a +1/+1 counter on Taurean Mauler.";2;2;2.44;0.49;19.98;2008
Demon of Catastrophes;B;4;Creature;Demon;m19;rare;"As an additional cost to cast this spell, sacrifice a creature.
Flying, trample";6;6;0.29;0.35;0.49;2018
Dictate of Karametra;G;5;Enchantment;;jou;rare;"Flash
Whenever a player taps a land for mana, that player adds one mana of any type that land produced.";;;1.27;0.43;2.70;2014
Chimeric Egg;;3;Artifact;;dst;uncommon;"Whenever an opponent casts a nonartifact spell, put a charge counter on Chimeric Egg.
Remove three charge counters from Chimeric Egg: Chimeric Egg becomes a 6/6 Construct artifact creature with trample until end of turn.";;;0.14;0.1;0.26;2004
Dark Suspicions;B;4;Enchantment;;pls;rare;At the beginning of each opponent's upkeep, that player loses X life, where X is the number of cards in that player's hand minus the number of cards in your hand.;;;0.33;0.19;2.23;2001
Skyshroud Troopers;G;4;Creature;Elf Druid Warrior;sth;common;{T}: Add {G}.;3;3;0.16;0.02;;1998
Sink into Takenuma;B;4;Sorcery;Arcane;sok;common;Sweep — Return any number of Swamps you control to their owner's hand. Target player discards a card for each Swamp returned this way.;;;0.1;0.05;0.23;2005
Chittering Harvester;B;6;Creature;Nightmare;iko;uncommon;"Mutate {4}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, each opponent sacrifices a creature.";4;6;0.04;0.03;0.11;2020
Fire and Brimstone;W;5;Instant;;drk;uncommon;Fire and Brimstone deals 4 damage to target player who attacked this turn and 4 damage to you.;;;0.39;0.59;;1994
Charging Monstrosaur;R;5;Creature;Dinosaur;xln;uncommon;Trample, haste;5;5;0.11;0.03;0.92;2017
Torrential Gearhulk;U;6;Artifact Creature;Construct;kld;mythic;"Flash
When Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard this turn, exile it instead.";5;6;4.89;4.62;8.17;2016
Master of the Feast;B;3;Enchantment Creature;Demon;jou;rare;"Flying
At the beginning of your upkeep, each opponent draws a card.";5;5;0.66;0.41;2.35;2014
Duplicity;U;5;Enchantment;;tmp;rare;"When Duplicity enters the battlefield, exile the top five cards of your library face down.
At the beginning of your upkeep, you may exile all cards from your hand face down. If you do, put all other cards you own exiled with Duplicity into your hand.
At the beginning of your end step, discard a card.
When you lose control of Duplicity, put all cards exiled with Duplicity into their owner's graveyard.";;;0.27;0.2;;1997
Consuming Fervor;R;1;Enchantment;Aura;akh;uncommon;"Enchant creature
Enchanted creature gets +3/+3 and has ""At the beginning of your upkeep, put a -1/-1 counter on this creature.""";;;0.1;0.1;0.16;2017
Undergrowth Champion;G;3;Creature;Elemental;bfz;mythic;"If damage would be dealt to Undergrowth Champion while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from Undergrowth Champion.
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Undergrowth Champion.";2;2;2.69;1.13;6.29;2015
Streetbreaker Wurm;GR;5;Creature;Wurm;gpt;common;;6;4;0.12;0.02;0.25;2006
Nightscape Battlemage;BRU;3;Creature;Zombie Wizard;pls;uncommon;"Kicker {2}{U} and/or {2}{R} (You may pay an additional {2}{U} and/or {2}{R} as you cast this spell.)
When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, return up to two target nonblack creatures to their owners' hands.
When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{R} kicker, destroy target land.";2;2;0.19;0.04;0.91;2001
Orcish Settlers;R;2;Creature;Orc;wth;uncommon;{X}{X}{R}, {T}, Sacrifice Orcish Settlers: Destroy X target lands.;1;1;0.54;0.31;;1997
Foreshadow;U;2;Instant;;vis;uncommon;"Choose a card name, then target opponent mills a card. If a card with the chosen name was milled this way, you draw a card.
Draw a card at the beginning of the next turn's upkeep.";;;0.16;0.04;;1997
Fortitude;G;2;Enchantment;Aura;usg;common;"Enchant creature
Sacrifice a Forest: Regenerate enchanted creature.
When Fortitude is put into a graveyard from the battlefield, return Fortitude to its owner's hand.";;;0.28;0.02;;1998
Needlebug;;4;Artifact Creature;Insect;mrd;uncommon;"Flash
Protection from artifacts";2;2;0.1;0.08;;2003
Toil to Renown;G;2;Sorcery;;shm;common;You gain 1 life for each tapped artifact, creature, and land you control.;;;0.11;0.08;0.59;2008
Reflecting Mirror;;4;Artifact;;drk;uncommon;{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the converted mana cost of that spell.;;;1.16;0.66;;1994
Stirring Wildwood;GW;0;Land;;wwk;rare;"Stirring Wildwood enters the battlefield tapped.
{T}: Add {G} or {W}.
{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land.";;;0.55;0.44;2.55;2010
Akroan Skyguard;W;2;Creature;Human Soldier;bng;common;"Flying
Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.";1;1;0.17;0.22;0.44;2014
Atarka Pummeler;R;5;Creature;Ogre Warrior;dtk;uncommon;Formidable — {3}{R}{R}: Creatures you control gain menace until end of turn. Activate this ability only if creatures you control have total power 8 or greater. (They can't be blocked except by two or more creatures.);4;5;0.07;0.02;0.20;2015
Search Warrant;UW;2;Sorcery;;rtr;common;Target player reveals their hand. You gain life equal to the number of cards in that player's hand.;;;0.06;0.01;0.13;2012
Roar of Reclamation;W;7;Sorcery;;5dn;rare;Each player returns all artifact cards from their graveyard to the battlefield.;;;0.46;0.13;2.58;2004
Vebulid;B;1;Creature;Horror;usg;rare;"Vebulid enters the battlefield with a +1/+1 counter on it.
At the beginning of your upkeep, you may put a +1/+1 counter on Vebulid.
When Vebulid attacks or blocks, destroy it at end of combat.";0;0;0.35;0.5;;1998
Long Road Home;W;2;Instant;;emn;uncommon;Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.;;;0.11;0.02;0.38;2016
Hypothesizzle;RU;5;Instant;;grn;common;Draw two cards. Then you may discard a nonland card. When you do, Hypothesizzle deals 4 damage to target creature.;;;0.04;0.03;0.18;2018
Skinshifter;G;2;Creature;Human Shaman;m12;rare;"{G}: Choose one —
• Until end of turn, Skinshifter becomes a Rhino with base power and toughness 4/4 and gains trample. Activate this ability only once each turn.
• Until end of turn, Skinshifter becomes a Bird with base power and toughness 2/2 and gains flying. Activate this ability only once each turn.
• Until end of turn, Skinshifter becomes a Plant with base power and toughness 0/8. Activate this ability only once each turn.";1;1;0.48;0.3;1.99;2011
Reverse Engineer;U;5;Sorcery;;aer;uncommon;"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Draw three cards.";;;0.11;0.15;0.29;2017
Sage's Row Savant;U;2;Creature;Vedalken Wizard;rna;common;When Sage's Row Savant enters the battlefield, scry 2.;2;1;0.03;0.03;0.19;2019
Thistledown Duo;UW;3;Creature;Kithkin Soldier Wizard;shm;common;"Whenever you cast a white spell, Thistledown Duo gets +1/+1 until end of turn.
Whenever you cast a blue spell, Thistledown Duo gains flying until end of turn.";2;2;0.09;0.06;0.33;2008
Thunderblust;R;5;Creature;Elemental;eve;rare;"Haste
Thunderblust has trample as long as it has a -1/-1 counter on it.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)";7;2;0.49;0.4;2.62;2008
Firemaw Kavu;R;6;Creature;Kavu;tsp;uncommon;"Echo {5}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Firemaw Kavu enters the battlefield, it deals 2 damage to target creature.
When Firemaw Kavu leaves the battlefield, it deals 4 damage to target creature.";4;2;0.1;0.02;0.32;2006
Vexing Beetle;G;5;Creature;Insect;lgn;rare;"This spell can't be countered.
Vexing Beetle gets +3/+3 as long as no opponent controls a creature.";3;3;0.39;0.13;0.95;2003
Thought Lash;U;4;Enchantment;;all;rare;"Cumulative upkeep—Exile the top card of your library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When a player doesn't pay Thought Lash's cumulative upkeep, that player exiles all cards from their library.
Exile the top card of your library: Prevent the next 1 damage that would be dealt to you this turn.";;;9.61;8.49;;1996
World Shaper;G;4;Creature;Merfolk Shaman;rix;rare;"Whenever World Shaper attacks, you may mill three cards.
When World Shaper dies, return all land cards from your graveyard to the battlefield tapped.";3;3;4.6;2.34;7.86;2018
Ashes of the Fallen;;2;Artifact;;sok;rare;"As Ashes of the Fallen enters the battlefield, choose a creature type.
Each creature card in your graveyard has the chosen creature type in addition to its other types.";;;0.95;0.16;5.04;2005
Telekinesis;U;2;Instant;;leg;rare;Tap target creature. Prevent all combat damage that would be dealt by that creature this turn. It doesn't untap during its controller's next two untap steps.;;;34.9;26.5;;1994
Pine Barrens;BG;0;Land;;tmp;rare;"Pine Barrens enters the battlefield tapped.
{T}: Add {C}.
{T}: Add {B} or {G}. Pine Barrens deals 1 damage to you.";;;0.92;0.99;;1997
Sphere of Grace;W;4;Enchantment;;ody;uncommon;If a black source would deal damage to you, prevent 2 of that damage.;;;0.18;0.07;0.34;2001
Merrow Witsniper;U;1;Creature;Merfolk Rogue;mor;common;When Merrow Witsniper enters the battlefield, target player mills a card.;1;1;0.12;0.14;0.45;2008
Kjeldoran Knight;W;2;Creature;Human Knight;ice;rare;"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
{1}{W}: Kjeldoran Knight gets +1/+0 until end of turn.
{W}{W}: Kjeldoran Knight gets +0/+2 until end of turn.";1;1;0.82;0.15;;1995
Shallow Grave;B;2;Instant;;mir;rare;Return the top creature card of your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step.;;;18.62;13.0;;1996
Vastwood Animist;G;3;Creature;Elf Shaman Ally;wwk;uncommon;{T}: Target land you control becomes an X/X Elemental creature until end of turn, where X is the number of Allies you control. It's still a land.;1;1;0.14;0.02;0.35;2010
Pinpoint Avalanche;R;5;Instant;;ons;common;Pinpoint Avalanche deals 4 damage to target creature. The damage can't be prevented.;;;0.13;0.02;0.25;2002
Crystal Chimes;;3;Artifact;;usg;uncommon;{3}, {T}, Sacrifice Crystal Chimes: Return all enchantment cards from your graveyard to your hand.;;;1.4;0.17;;1998
Lost Legacy;B;3;Sorcery;;kld;rare;Choose a nonartifact, nonland card name. Search target player's graveyard, hand, and library for any number of cards with that name and exile them. That player shuffles their library, then draws a card for each card exiled from their hand this way.;;;0.28;0.19;0.87;2016
Null Brooch;;4;Artifact;;exo;rare;{2}, {T}, Discard your hand: Counter target noncreature spell.;;;2.23;0.7;;1998
Eon Hub;;5;Artifact;;5dn;rare;Players skip their upkeep steps.;;;1.06;0.15;6.21;2004
Cephalid Coliseum;U;0;Land;;ody;uncommon;"{T}: Add {U}. Cephalid Coliseum deals 1 damage to you.
Threshold — {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate this ability only if seven or more cards are in your graveyard.";;;7.87;2.39;39.56;2001
Scarab of the Unseen;;2;Artifact;;all;uncommon;{T}, Sacrifice Scarab of the Unseen: Return all Auras attached to target permanent you own to their owners' hands. Draw a card at the beginning of the next turn's upkeep.;;;0.14;0.11;;1996
Dream Twist;U;1;Instant;;isd;common;"Target player mills three cards.
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;0.16;0.11;0.30;2011
Mishra, Artificer Prodigy;BRU;4;Legendary Creature;Human Artificer;tsp;rare;Whenever you cast an artifact spell, you may search your graveyard, hand, and/or library for a card with the same name as that spell and put it onto the battlefield. If you search your library this way, shuffle it.;4;4;0.92;0.5;12.46;2006
Horizon Canopy;GW;0;Land;;fut;rare;"{T}, Pay 1 life: Add {G} or {W}.
{1}, {T}, Sacrifice Horizon Canopy: Draw a card.";;;30.19;21.0;220.84;2007
Horn of Plenty;;6;Artifact;;mmq;rare;Whenever a player casts a spell, they may pay {1}. If the player does, they draw a card at the beginning of the next end step.;;;0.35;0.36;2.75;1999
Copper Gnomes;;2;Artifact Creature;Gnome;usg;rare;{4}, Sacrifice Copper Gnomes: You may put an artifact card from your hand onto the battlefield.;1;1;1.44;1.28;;1998
Firebolt;R;1;Sorcery;;ody;common;"Firebolt deals 2 damage to any target.
Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;0.24;0.43;5.39;2001
Convulsing Licid;R;3;Creature;Licid;sth;uncommon;"{R}, {T}: Convulsing Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {R} to end this effect.
Enchanted creature can't block.";2;2;0.14;0.04;;1998
Psychic Trance;U;4;Instant;;ons;rare;"Until end of turn, Wizards you control gain ""{T}: Counter target spell.""";;;0.25;0.17;2.84;2002
Artifact Mutation;GR;2;Instant;;inv;rare;Destroy target artifact. It can't be regenerated. Create X 1/1 green Saproling creature tokens, where X is that artifact's converted mana cost.;;;2.28;0.5;12.26;2000
Weight of Spires;R;1;Instant;;dis;uncommon;Weight of Spires deals damage to target creature equal to the number of nonbasic lands that creature's controller controls.;;;0.1;0.02;0.35;2006
Light of Promise;W;3;Enchantment;Aura;m21;uncommon;"Enchant creature
Enchanted creature has ""Whenever you gain life, put that many +1/+1 counters on this creature.""";;;0.25;0.21;0.35;2020
Postmortem Lunge;B;1;Sorcery;;nph;uncommon;"({B/P} can be paid with either {B} or 2 life.)
Return target creature card with converted mana cost X from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step.";;;0.68;1.49;6.52;2011
Seraph of the Scales;BW;4;Creature;Angel;rna;mythic;"Flying
{W}: Seraph of the Scales gains vigilance until end of turn.
{B}: Seraph of the Scales gains deathtouch until end of turn.
Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)";4;3;1.5;1.52;4.45;2019
Rin and Seri, Inseparable;GRW;4;Legendary Creature;Dog Cat;m21;mythic;"Whenever you cast a Dog spell, create a 1/1 green Cat creature token.
Whenever you cast a Cat spell, create a 1/1 white Dog creature token.
{R}{G}{W}, {T}: Rin and Seri, Inseparable deals damage to any target equal to the number of Dogs you control. You gain life equal to the number of Cats you control.";4;4;6.74;9.5;6.75;2020
Etherium Astrolabe;BU;3;Artifact;;ala;uncommon;"Flash
{B}, {T}, Sacrifice an artifact: Draw a card.";;;0.18;0.05;0.34;2008
Garruk's Warsteed;G;5;Creature;Rhino;m21;rare;"Vigilance
When Garruk's Warsteed enters the battlefield, you may search your library and/or graveyard for a card named Garruk, Savage Herald, reveal it, and put it into your hand. If you search your library this way, shuffle it.";3;5;0.71;0.52;;2020
Fervent Charge;BRW;4;Enchantment;;apc;rare;Whenever a creature you control attacks, it gets +2/+2 until end of turn.;;;0.45;0.29;5.87;2001
Oath of Scholars;U;4;Enchantment;;exo;rare;At the beginning of each player's upkeep, that player chooses target player who has more cards in hand than they do and is their opponent. The first player may discard their hand and draw three cards.;;;0.27;0.2;;1998
Winnow;W;2;Instant;;inv;rare;"Destroy target nonland permanent if another permanent with the same name is on the battlefield.
Draw a card.";;;0.27;0.15;1.03;2000
Masked Blackguard;B;2;Creature;Human Rogue;m21;common;"Flash (You may cast this spell any time you could cast an instant.)
{2}{B}: Masked Blackguard gets +1/+1 until end of turn.";2;1;0.05;0.02;0.13;2020
Lush Growth;G;1;Enchantment;Aura;ala;common;"Enchant land
Enchanted land is a Mountain, Forest, and Plains.";;;0.12;0.01;0.24;2008
Guma;R;3;Creature;Cat;usg;uncommon;Protection from blue;2;2;0.21;0.25;;1998
Sire of Stagnation;BU;6;Creature;Eldrazi;bfz;mythic;"Devoid (This card has no color.)
Whenever a land enters the battlefield under an opponent's control, that player exiles the top two cards of their library and you draw two cards.";5;7;2.45;1.55;8.23;2015
Chronosavant;W;6;Creature;Giant;tsp;rare;{1}{W}: Return Chronosavant from your graveyard to the battlefield tapped. You skip your next turn.;5;5;0.18;0.02;0.52;2006
Powerstone Shard;;3;Artifact;;dom;common;{T}: Add {C} for each artifact you control named Powerstone Shard.;;;0.1;0.13;0.52;2018
Mardu Roughrider;BRW;5;Creature;Orc Warrior;ktk;uncommon;Whenever Mardu Roughrider attacks, target creature can't block this turn.;5;4;0.06;0.49;0.25;2014
Fierce Witchstalker;G;4;Creature;Wolf;eld;common;"Trample
When Fierce Witchstalker enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")";4;4;0.02;0.02;0.12;2019
Minions' Murmurs;B;4;Sorcery;;fut;uncommon;You draw X cards and you lose X life, where X is the number of creatures you control.;;;0.24;0.06;0.76;2007
Jenara, Asura of War;GUW;3;Legendary Creature;Angel;arb;mythic;"Flying
{1}{W}: Put a +1/+1 counter on Jenara, Asura of War.";3;3;2.3;1.98;11.04;2009
Mortus Strider;BU;3;Creature;Skeleton;gtc;common;When Mortus Strider dies, return it to its owner's hand.;1;1;0.07;0.02;0.21;2013
Secure the Scene;W;5;Sorcery;;m21;common;Exile target nonland permanent. Its controller creates a 1/1 white Soldier creature token.;;;0.04;0.02;0.16;2020
Eternal Flame;R;4;Sorcery;;drk;rare;Eternal Flame deals X damage to target opponent or planeswalker and half X damage, rounded up, to you, where X is the number of Mountains you control.;;;5.79;4.49;;1994
Homing Lightning;R;4;Instant;;gtc;uncommon;Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.;;;0.05;0.15;0.16;2013
Warthog;G;3;Creature;Boar;6ed;uncommon;Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.);3;2;0.14;0.09;;1999
Gideon's Triumph;W;2;Instant;;war;uncommon;Target opponent sacrifices a creature that attacked or blocked this turn. If you control a Gideon planeswalker, that player sacrifices two of those creatures instead.;;;0.04;0.03;0.23;2019
Body Double;U;5;Creature;Shapeshifter;plc;rare;You may have Body Double enter the battlefield as a copy of any creature card in a graveyard.;0;0;2.27;0.27;17.03;2007
Without Weakness;B;2;Instant;;hou;common;"Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)
Cycling {2} ({2}, Discard this card: Draw a card.)";;;0.05;0.09;0.23;2017
